"","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"Burkholderiaceae",22.9628448413331,40.5549626467449,13.1061598951507,51.6431924882629,0,21.6284987277354,0,39.4160583941606,20.8623087621697,28.3400809716599,14.3737166324436,56.7951318458418,76.4419735927728,43.2946145723337,82.9103214890018,21.4231063504208
"PAUC26f",0,0,0,4.89895897121862,0,0,0,0,0,0,0,0,0,0,0,0
"Mycoplasmataceae",0,0,3.93184796854522,0.612369871402327,0,0,4.53857791225417,0,0,0,18.4804928131417,0,2.08478109798471,0,0,0
"[Paraprevotellaceae]",0,0.355745286374956,0,7.14431516636048,4.24929178470256,0,0,0,0,0,0,14.1987829614605,0,0,6.76818950930627,3.06044376434583
"Peptococcaceae",0,0,0,4.89895897121862,0,0,0,7.29927007299271,6.95410292072324,0,0,8.11359026369169,0,0,0,0
"Rubrobacteraceae",123.903683623027,163.998577018855,64.2201834862386,46.9483568075117,26.9121813031162,43.2569974554708,22.6928895612708,37.9562043795621,45.8970792767734,76.4732343679713,16.4271047227926,86.2068965517242,9.728978457262,73.2136571629708,13.5363790186125,8.41622035195104
"Ignavibacteriaceae",0,0,0,0.408246580934885,0,3.81679389312978,0,0,0,0,0,1.01419878296146,0,0,0,0
"Veillonellaceae",10.2057088183703,7.47065101387407,18.348623853211,20.0040824658094,103.399433427762,110.687022900764,74.1301059001514,52.5547445255475,0,3.14889788573999,0,986.308316430021,18.0681028492008,17.9514255543823,6.76818950930627,4.59066564651875
"Nitrososphaeraceae",101.738159783129,231.768054073284,0,7.96080832823025,4.24929178470256,0,0,0,0,0.899685110211426,0,2.02839756592292,0,0,0,4.59066564651875
"Sphingobacteriaceae",11.6408866209536,19.74386339381,0,9.18554807103491,0,0,0,0,0,0,0,21.8052738336714,13.8985406532314,42.5906370996128,0,5.35577658760521
"Comamonadaceae",81.4862063466752,105.656350053362,28.8335517693316,77.3627270871607,83.5694050991503,0,0,26.2773722627738,19.4714881780251,93.1174089068826,24.640657084189,74.0365111561866,0,71.8057022175291,15.2284263959391,166.794185156848
"Microbacteriaceae",24.5574868442035,42.6894343649947,0,29.5978771177791,0,0,0,0,0,22.4921277552857,0,20.2839756592292,29.8818624044476,22.8792678634284,0,18.362662586075
"Moraxellaceae",61.2342529102217,71.860547847741,131.061598951507,119.820371504389,1012.74787535411,265.903307888041,111.951588502269,183.941605839416,79.2767732962449,83.6707152496627,41.0677618069816,196.247464503043,18.7630298818624,60.1900739176347,28.7648054145517,300.688599846978
"Haliangiaceae",34.7631956625738,31.4834578441836,13.1061598951507,22.8618085323535,0,0,13.6157337367625,0,11.1265646731572,32.3886639676114,0,0,0,19.0073917634636,0,6.88599846977812
"Ellin6075",4.14606920746292,4.44681607968695,0,5.3072055521535,0,0,0,0,0,0,0,2.53549695740365,0,0,0,16.8324407039021
"Sphingomonadaceae",228.352734811035,334.934187122021,112.712975098296,208.001632986324,32.5779036827196,49.6183206106871,28.7443267776097,4.37956204379563,26.4255910987483,158.794421952317,0,37.5253549695741,34.7463516330786,160.85885251672,15.2284263959391,145.371078806427
"Neisseriaceae",587.785042258013,2588.58057630736,2850.58977719529,548.071034905083,32440.5099150142,3790.07633587787,3111.95158850227,3452.55474452555,5492.35048678721,12848.8529014845,4858.31622176592,1005.07099391481,499.65253648367,512.143611404435,1191.2013536379,22945.6771231829
"0319-6A21",35.0821240631478,52.4724297403059,0,25.3112880179629,7.08215297450426,0,0,8.75912408759126,0,19.3432298695457,0,0,4.16956219596943,9.50369588173179,0,16.8324407039021
"Solibacteraceae",21.0492744378887,27.926004980434,9.17431192660552,17.5546029802,9.91501416430596,0,0,11.6788321167883,0,12.1457489878543,0,37.5253549695741,11.8137595552467,8.79971840901091,0,0
"EB1017",14.3517780258332,18.6766275346852,0,8.77730149010002,0,0,0,0,0,17.5438596491228,0,14.7058823529412,22.9325920778318,19.359380499824,0,0
"[Chthoniobacteraceae]",859.512039547122,1111.70401992174,60.2883355176934,97.9791794243723,0,0,0,0,16.6898470097358,98.9653621232569,0,16.2271805273834,36.8311327310633,218.936994016192,27.0727580372251,49.7322111706198
"Deinococcaceae",4.30553340774996,3.02383493418712,0,1.83710961420698,0,0,0,0,0,2.69905533063428,4.10677618069816,0,0,2.11193241816262,0,0
"[Entotheonellaceae]",12.4382076223888,33.6179295624333,0,8.36905490916514,0,0,0,5.83941605839417,0,7.19748088169141,0,0,0,5.98380851812742,0,0
"A4b",2.2324988040185,1.6008537886873,0,17.9628495611349,0,3.81679389312978,0,4.37956204379563,5.56328233657859,5.84795321637427,0,8.62068965517242,1.38985406532314,3.51988736360437,0,4.59066564651875
"Clostridiaceae",23.1223090416202,15.652792600498,38.0078636959371,110.430700142886,358.356940509916,202.290076335878,325.264750378215,202.919708029197,586.926286509041,340.980656770131,667.351129363451,3448.78296146045,2342.59902710216,742.696233720521,1646.36209813875,81.1017597551646
"Anaerolinaceae",0.478392600861107,0,5.24246395806029,3.67421922841396,0,0,0,2.91970802919708,0,0,0,0,0,0,0,0
"PRR-10",2.2324988040185,2.31234436143721,0,2.44947948560931,0,0,0,0,0,0,0,0,0,2.11193241816262,0,0
"Planococcaceae",26.6305214479349,35.2187833511206,0,46.7442335170443,33.9943342776204,26.7175572519084,0,7.29927007299271,0,13.9451192082771,0,16.2271805273834,0,27.1031326997536,0,16.8324407039021
"Aerococcaceae",3.34874820602775,0,0,2.04123290467442,24.0793201133145,7.63358778625955,13.6157337367625,8.75912408759126,0,2.24921277552857,0,4.05679513184584,13.8985406532314,0,0,34.4299923488906
"Piscirickettsiaceae",3.82714080688885,1.06723585912487,0,55.5215350071443,21.2464589235128,21.6284987277354,0,24.8175182481752,41.7246175243394,43.1848852901485,45.1745379876798,27.8904665314402,10.4239054899236,3.8718760999648,0,0
