"","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"Bifidobacteriaceae",5.58124701004625,2.13447171824973,11.7955439056357,6.94019187589304,0,10.1781170483461,12.1028744326778,58.3941605839417,8.34492350486788,0,0,4969.06693711968,18.7630298818624,13.0235832453362,16.9204737732657,0
"Flavobacteriaceae",0.797321001435178,0,0,2.85772606654419,0,0,0,0,0,0,0,0,0,0,0,20.6579954093344
"Polyangiaceae",10.2057088183703,3.37958022056208,0,5.10308226168606,0,0,0,0,0,12.59559154296,0,7.60649087221096,0,3.16789862724393,0,0
"Deferribacteraceae",0,0,0,0.81649316186977,0,0,0,0,0,0,0,0,0,0,0,3.06044376434583
"BA008",0,0,0,3.26597264747908,0,0,0,0,0,0,0,0,0,0,0,0
"Pasteurellaceae",1.59464200287036,4.09107079331199,0,13.2680138803838,9.91501416430596,10.1781170483461,0,37.9562043795621,0,1.79937022042285,0,71.501014198783,0,4.57585357268568,11.844331641286,5.35577658760521
"Actinospicaceae",2.07303460373146,0,0,0,0,0,0,0,0,0,0,5.0709939148073,0,4.22386483632524,0,0
"Streptosporangiaceae",7.01642481262957,6.58128779793668,0,20.2082057562768,0,0,0,0,0,7.64732343679712,0,0,0,3.51988736360437,0,0
"Cystobacterineae",2.2324988040185,0,0,7.34843845682793,0,0,0,0,0,5.84795321637427,0,0,0,0,0,0
"Ktedonobacteraceae",4.62446180832403,2.84596229099964,0,3.47009593794652,0,0,0,0,0,1.79937022042285,0,1.01419878296146,0,2.46392115452306,0,0
"Helicobacteraceae",1.27571360229628,0,0,8.1649316186977,0,0,0,0,0,0,0,0,0,0.703977472720873,0,2.29533282325937
"Phycisphaeraceae",0,0,0,0.81649316186977,0,0,0,5.83941605839417,0,0,0,0,0,0,0,0
"SB-1",0,0,0,0,0,3.81679389312978,0,0,0,0,0,1.52129817444219,0,0,0,0
"[Kouleothrixaceae]",3.98660500717589,2.84596229099964,0,0,0,0,0,0,0,0,0,0,0,1.40795494544175,0,0
"Turicibacteraceae",5.90017541062032,0,19.6592398427261,35.517452541335,29.7450424929179,35.6234096692112,18.1543116490167,32.1167883211679,40.3337969401948,26.5407107512371,55.4414784394252,10.1419878296146,5.55941626129257,5.27983104540655,13.5363790186125,0
"Brocadiaceae",0,0.355745286374956,0,1.22473974280465,0,0,6.05143721633889,10.2189781021898,0,0,0,0,0,0,0,0
"Endozoicimonaceae",0,0,0,0,0,12.7226463104326,0,0,0,0,57.4948665297743,0,0,0,0,0
"Nocardiaceae",0.159464200287036,0,0,9.59379465196979,0,10.1781170483461,0,0,0,0,0,0,0,0,0,0
"Cenarchaeaceae",0,0,5.24246395806029,1.83710961420698,0,0,0,0,0,0,0,0,0,0,0,0
"211ds20",0,0,0,0,0,0,0,0,0,0,0,2.02839756592292,0,0,0,0
"Desulfobacteraceae",0,0,0,1.22473974280465,7.08215297450426,0,0,0,0,0,0,0,0,0,0,0
"Patulibacteraceae",59.6396109073513,75.951618641053,19.6592398427261,16.7381098183303,4.24929178470256,0,10.5900151285931,0,0,45.8839406207828,0,0,34.7463516330786,69.341781063006,0,0
"koll13",0,0,0,2.44947948560931,5.66572237960341,0,0,0,0,0,0,0,0,0,0,0
"AK1AB1_02E",1.59464200287036,0,0,0.612369871402327,0,0,0,0,0,0,0,0,0,2.11193241816262,0,0
"Saprospiraceae",1.43517780258332,0.889363215937389,0,0,2.8328611898017,0,0,0,0,0,0,6.5922920892495,0,0,0,0
"[Odoribacteraceae]",0,0,0,0.612369871402327,0,0,0,0,0,0,0,0,0,0,0,4.59066564651875
"Hyphomonadaceae",0.956785201722213,0,13.1061598951507,28.7813839559094,0,7.63358778625955,0,5.83941605839417,0,15.7444894287,16.4271047227926,12.1703853955375,0,0,0,2.29533282325937
"Cellulomonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82555470543229
"Actinomycetaceae",3.66767660660182,0,0,0,38.243626062323,15.2671755725191,36.3086232980333,21.8978102189781,0,0,0,176.977687626775,0,4.22386483632524,0,0
"Propionibacteriaceae",9.4083878169351,9.07150480256137,9.17431192660552,5.91957542355583,24.0793201133145,21.6284987277354,9.07715582450833,11.6788321167883,0,3.59874044084571,6.16016427104724,24.3407707910751,4.16956219596943,4.22386483632524,6.76818950930627,6.88599846977812
"Thermoactinomycetaceae",0,0,0,7.14431516636048,0,0,0,0,0,0,12.3203285420945,1.52129817444219,0,0,0,12.2417750573833
"Syntrophorhabdaceae",0,0,5.24246395806029,2.04123290467442,0,0,0,0,0,0,0,0,0,0,0,0
"Gemellaceae",0,0,5.24246395806029,11.2267809757093,14.1643059490085,10.1781170483461,0,0,0,0,0,7.09939148073023,4.16956219596943,0,0,0
"Pelobacteraceae",0,0,14.4167758846658,4.49071239028373,0,0,0,0,0,0,0,0,0,0,0,0
"OCS155",0,0,0,0.81649316186977,0,0,0,0,0,0,0,0,0,0,0,0
"Nitrospiraceae",8.29213841492585,14.0519388118107,14.4167758846658,8.77730149010002,0,0,0,8.75912408759126,0,6.29779577147999,0,6.5922920892495,0,4.22386483632524,0,6.88599846977812
"Carnobacteriaceae",98.708339977675,98.8971896122377,773.263433813894,108.797713819147,1177.05382436261,9450.38167938933,1552.19364599093,820.437956204381,175.243393602226,31.9388214125056,529.774127310063,173.42799188641,298.818624044476,47.5184794086589,307.952622673435,20.6579954093344
"Syntrophaceae",0,0,0,1.83710961420698,0,0,0,0,0,0,0,0,0,0,0,0
"Mycobacteriaceae",22.324988040185,40.3770900035575,7.86369593709044,6.7360685854256,0,0,0,0,0,8.54700854700855,0,13.6916835699797,11.1188325225851,22.5272791270679,18.6125211505923,0
"AKIW659",0,0,0,0.81649316186977,0,0,0,0,0,0,0,0,0,0,0,0
"[Weeksellaceae]",5.42178280975921,4.44681607968695,0,9.79791794243723,135.977337110482,0,0,0,0,0,0,3.04259634888438,6.25434329395414,2.81590989088349,0,28.3091048201989
"Ellin515",0,2.66808964781217,0,4.69483568075117,0,0,0,0,0,0,0,5.57809330628803,0,0,0,0
"Thermogemmatisporaceae",0,0,3.93184796854522,0,0,0,0,0,0,0,0,0,0,0,0,3.06044376434583
"Sporichthyaceae",27.2683782490831,18.4987548914977,0,8.36905490916514,0,0,0,0,0,23.8416554206028,0,0,0,26.3991552270327,0,0
"FW",0,0,0,0,0,0,0,0,0,0.899685110211426,0,0,0,0,0,0
"Euzebyaceae",0,0,0,1.4288630332721,0,0,4.53857791225417,0,0,0,0,3.54969574036511,0,0,0,0
"[Thermicanaceae]",0,0,0,0,0,0,0,0,0,0,0,3.54969574036511,9.728978457262,2.46392115452306,10.1522842639594,7.65110941086458
"Planctomycetaceae",0.637856801148142,0.533617929562433,0,1.22473974280465,0,0,0,0,0,0,0,2.53549695740365,0,0,0,0
"Spirochaetaceae",0,0.889363215937389,0,1.4288630332721,4.24929178470256,0,0,1.45985401459854,0,0,0,1.01419878296146,0,0,0,1.53022188217292
"125ds10",0,0,0,1.4288630332721,0,0,0,0,0,0,0,0,0,0,0,0
"[Thermodesulfovibrionaceae]",0,0,0,1.02061645233721,0,0,0,0,0,0,0,0,0,0,0,0
"auto67_4W",2.2324988040185,0,0,0.612369871402327,0,0,0,0,0,0,0,2.53549695740365,2.77970813064628,1.40795494544175,0,0
"S47",0,0,0,1.02061645233721,0,0,3.02571860816945,0,0,0,0,0,2.77970813064628,0,0,0
"Dermabacteraceae",1.43517780258332,0,0,0.81649316186977,0,0,0,7.29927007299271,0,0,0,0,0,1.75994368180218,0,0
"Flammeovirgaceae",0,0,0,1.22473974280465,0,0,0,0,0,0,0,3.04259634888438,0,0,0,0
"OM27",0,0,0,6.12369871402327,0,0,0,0,0,5.84795321637427,0,9.63488843813388,0,0,0,0
"HTCC2188",0,0,0,1.83710961420698,0,0,0,0,0,0,0,0,0,0,0,0
"Trueperaceae",0,0,0,4.69483568075117,0,0,0,0,0,1.79937022042285,0,0,0,0,0,0
"Rhodobiaceae",4.62446180832403,1.42298114549982,0,6.12369871402327,0,0,0,0,0,4.49842555105713,0,6.5922920892495,0,4.22386483632524,0,0
"Ectothiorhodospiraceae",0,0,0,2.85772606654419,0,0,0,0,0,0,0,0,0,0,0,0
"Listeriaceae",54.6962206984532,55.1405193881181,415.465268676278,56.5421514594815,106.232294617564,1849.8727735369,74.1301059001514,286.131386861314,23.643949930459,21.1426000899685,334.7022587269,15.2129817444219,51.4246004169563,15.8394931362196,30.4568527918782,16.8324407039021
"Methylobacteriaceae",16.5842768298517,16.364283173248,0,38.3751786078792,0,0,0,8.75912408759126,0,5.39811066126856,0,0,4.864489228631,9.15170714537135,0,0
"Thermaceae",2.87035560516664,0,0,0.612369871402327,0,0,0,0,0,2.24921277552857,0,5.0709939148073,0,1.75994368180218,0,0
"[Amoebophilaceae]",0.318928400574071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"wb1_P06",0,0,0,1.22473974280465,0,0,0,0,0,0,0,0,0,0,0,0
"Methylococcaceae",0,0,0,5.91957542355583,0,0,0,5.83941605839417,0,3.14889788573999,0,5.57809330628803,0,0,0,19.1277735271615
"Pseudanabaenaceae",0,0.355745286374956,0,0.612369871402327,0,0,0,0,0,0,0,0,0,0.703977472720873,0,0
"Chloroflexaceae",0,0,0,1.02061645233721,0,0,0,0,0,0,0,0,0,0,0,0
"SJA-101",0,0,0,1.63298632373954,0,0,0,0,0,0,0,0,0,0,0,3.06044376434583
"Shewanellaceae",0,0,0,3.06184935701164,0,0,0,20.4379562043796,0,0,0,0,0,0,0,22.9533282325937
"Cystobacteraceae",2.55142720459257,7.82639630024902,9.17431192660552,7.34843845682792,0,0,0,0,8.34492350486788,0,0,0,0,4.22386483632524,0,0
"UD5",0,0,0,3.26597264747908,0,0,0,0,0,0,0,0,0,0,0,0
"Anaeroplasmataceae",0.478392600861107,0,0,0,0,0,0,5.83941605839417,0,0,0,0,0,0.703977472720873,0,0
"Cyclobacteriaceae",0,0,0,0.612369871402327,0,0,0,0,0,0,0,2.53549695740365,0,0,0,0
"Tsukamurellaceae",2.07303460373146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[Exiguobacteraceae]",0,0,0,0,0,0,0,18.9781021897811,0,0,0,0,0,0,0,78.0413159908187
"Actinopolysporaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06044376434583
"Actinosynnemataceae",0,2.31234436143721,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haloplasmataceae",0,0,0,2.44947948560931,0,0,0,0,0,0,0,0,0,0,0,0
"F16",0,0,0,0.408246580934885,0,0,0,0,0,0,0,0,0,0,0,4.59066564651875
"Brucellaceae",0,0,0,1.63298632373954,0,0,0,0,0,0,0,0,0,0,0,13.7719969395562
"Leptotrichiaceae",0,0,0,0,0,0,0,0,0,0,0,1.52129817444219,0,0,0,0
"Dermacoccaceae",20.7303460373146,16.008537886873,0,1.22473974280465,0,0,0,0,0,19.7930724246514,0,0,0,17.5994368180218,0,0
"Sporolactobacillaceae",2.55142720459257,1.77872643187478,0,0,0,0,0,0,0,4.49842555105713,0,0,0,5.63181978176698,0,51.2624330527927
"Dietziaceae",0,0,0,1.83710961420698,0,0,0,0,0,0,0,0,0,0,0,0
"Gemmatimonadaceae",0,0,0,0,0,0,9.07715582450833,0,0,0,0,6.08519269776877,0,0,0,0
"At425_EubF1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.12088752869166
"Salinisphaeraceae",0,0,0,0,0,0,0,0,0,0,0,5.0709939148073,0,0,0,0
"Methylomirabiliaceae",0,0,0,0.408246580934885,0,0,0,0,0,0,0,0,0,0,0,0
"Nitriliruptoraceae",0,0.533617929562433,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BS11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82555470543229
"Methylophilaceae",0,0,0,1.63298632373954,0,0,0,0,0,0,0,3.54969574036511,0,0,0,0
"Thiobacteraceae",0,0,0,1.4288630332721,0,0,0,0,0,0,0,0,0,0,0,0
"Cryomorphaceae",0,0,0,0,0,0,0,0,0,0,0,0,2.08478109798471,0,0,0
"Desulfarculaceae",0,0,0,4.28658909981629,0,0,0,0,0,0,0,0,0,0,0,0
"Synechococcaceae",0,0,0,0,0,0,0,0,0,0,0,1.52129817444219,0,0,0,0
"Methanobacteriaceae",0,0,0,0.612369871402327,0,0,0,0,0,0,0,0,0,0,0,0
"Nakamurellaceae",0.159464200287036,0,0,0,0,0,0,0,0,0,0,0,0,2.11193241816262,0,0
"MND4",0,0,0,1.22473974280465,0,0,0,0,0,0,0,0,0,0,0,0
"Brevibacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59066564651875
"Leptospiraceae",0,0,0,1.4288630332721,0,0,0,0,0,0,0,0,0,0,0,0
"Dethiosulfovibrionaceae",0,0,0,0,0,0,3.02571860816945,0,0,0,0,5.57809330628803,0,0,0,0
"Microthrixaceae",0,0,0,1.22473974280465,0,0,0,0,0,0,0,0,0,0,0,0
