"Genus","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"Pseudoxanthomonas",0,0,0,0,0,0,0,0,0,0,0,3.04259634888438,0,0,0,13.0068859984698
"Staphylococcus",19.1357040344443,5.15830665243686,14.4167758846658,13.2680138803838,124.645892351275,118.320610687023,114.977307110439,94.8905109489053,16.6898470097358,40.0359874044085,0,31.4401622718053,18.7630298818624,24.991200281591,43.9932318104908,87.9877582249427
"Gracilibacter",0,0,0,1.4288630332721,0,0,0,0,0,0,0,0,0,0,0,0
"Parachlamydia",0,1.06723585912487,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erythromicrobium",0,8.71575951618641,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35577658760521
"Roseburia",31.7333758571201,24.190679473497,87.8112712975099,42.0493978362931,24.0793201133145,0,42.3600605143722,33.5766423357665,41.7246175243394,13.4952766531714,43.1211498973307,15.2129817444219,20.1528839471856,13.3755719816966,549.915397631135,5.35577658760521
"Coprococcus",3.98660500717589,2.13447171824973,0,10.614411104307,12.7478753541077,0,0,0,0,4.04858299595142,0,0,0,5.98380851812742,25.3807106598985,27.5439938791125
"p-75-a5",1.59464200287036,0.889363215937389,0,1.4288630332721,7.08215297450426,0,0,0,0,0,0,0,0,0,0,0
"Serratia",32.8496252591293,15.4749199573106,121.887287024902,194.121249234538,101.983002832861,139.949109414758,149.773071104388,223.357664233577,0,76.923076923077,69.8151950718687,121.703853955375,14.593467685893,39.7747272087293,69.3739424703893,40.5508798775823
"Teredinibacter",0,0.533617929562433,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yonghaparkia",5.42178280975921,7.82639630024902,0,0,0,0,0,0,0,0,0,6.5922920892495,0,8.44772967265048,0,0
"Dok59",0,0,0,0,0,0,0,0,0,0,0,6.5922920892495,0,0,0,0
"Sphingomonas",58.8422899059161,91.6044112415511,0,34.4968360889978,0,0,0,0,26.4255910987483,36.8870895186685,0,0,29.8818624044476,39.4227384723689,0,29.8393267023719
"Aurantimonas",0.797321001435178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agrobacterium",5.26231860947217,4.62468872287442,0,12.451520718514,0,0,0,0,0,4.94826810616285,0,7.60649087221096,0,5.27983104540655,0,7.65110941086458
"Saccharomonospora",0,0,0,1.22473974280465,0,0,0,0,0,0,0,0,0,0,0,0
"Labrys",4.62446180832403,5.86979722518677,0,0,0,0,0,0,0,6.29779577147998,0,0,0,10.2076733544527,0,0
"Chelativorans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.88599846977812
"Chthoniobacter",1.27571360229628,0,0,0,0,0,0,0,0,0,0,0,0,3.8718760999648,0,0
"Arthrobacter",93.1270929676288,112.949128424048,39.3184796854522,42.2535211267606,62.3229461756375,49.6183206106871,28.7443267776097,36.4963503649636,26.4255910987483,77.3729194781827,51.334702258727,17.7484787018256,0,54.2062653995072,0,35.9602142310635
"Vitreoscilla",0,0,0,0,8.49858356940511,0,0,0,0,0,0,0,0,0,0,0
"Lachnobacterium",0,0,0,3.67421922841396,0,0,0,0,0,0,0,0,0,0,0,0
"Plesiocystis",3.34874820602775,0,0,11.8391508471117,0,0,0,0,0,3.59874044084571,0,0,0,4.92784230904611,0,0
"Rheinheimera",2.2324988040185,0,0,0,0,0,0,0,0,4.04858299595142,0,1.52129817444219,0,0,0,0
"Opitutus",2.71089140487961,0,3.93184796854522,2.24535619514187,0,0,0,0,0,0,0,0,0,0,0,6.12088752869166
"Rhodobacter",0,0,0,1.22473974280465,0,0,0,0,0,0,0,0,0,0,0,0
"Saccharopolyspora",2.87035560516664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.7184391736802
