"Order","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"Nitrososphaerales",101.738159783129,231.768054073284,0,7.96080832823025,4.24929178470256,0,0,0,0,0.899685110211426,0,2.02839756592292,0,0,0,4.59066564651875
"Myxococcales",85.9512039547122,63.6784062611171,40.6290956749673,156.766687078996,18.4135977337111,6.36132315521629,13.6157337367625,20.4379562043796,26.4255910987483,112.910481331534,6.16016427104724,69.9797160243408,13.8985406532314,54.5582541358677,10.1522842639594,12.2417750573833
"Sphingobacteriales",12.4382076223888,19.74386339381,0,14.0845070422535,0,0,0,4.37956204379563,0,0,0,22.8194726166329,13.8985406532314,42.5906370996128,0,5.35577658760521
"Ellin6513",8.92999521607399,8.18214158662398,0,9.18554807103491,0,10.1781170483461,0,5.83941605839417,0,9.89653621232569,0,33.9756592292089,25.7123002084781,28.5110876451954,0,6.88599846977812
"Solirubrobacterales",388.773720299793,419.423692636073,58.9777195281783,167.993468054705,31.1614730878187,0,36.3086232980333,33.5766423357665,26.4255910987483,247.863247863248,51.334702258727,97.3630831643002,197.359277275886,343.541006687786,126.903553299493,9.94644223412396
"Pseudomonadales",403.284962525913,420.490928495198,1824.37745740498,741.784037558685,2436.26062322947,2675.57251908397,1431.16490166415,9058.39416058396,646.731571627261,681.06162843005,2800.82135523615,979.20892494929,251.563585823489,250.26399155227,1605.75296108291,3970.16067329763
"RB41",162.175091691915,289.398790466026,20.9698558322412,47.5607266789141,0,0,0,0,0,47.2334682860999,0,4.56389452332657,0,55.2622316085885,0,35.1951032899771
"Sphingomonadales",235.05023122309,347.563144788332,123.197903014417,225.147989385589,32.5779036827196,49.6183206106871,28.7443267776097,17.5182481751825,26.4255910987483,168.690958164642,0,46.6531440162272,34.7463516330786,167.194649771207,15.2284263959391,163.733741392502
"Neisseriales",587.785042258013,2588.58057630736,2850.58977719529,548.071034905083,32440.5099150142,3790.07633587787,3111.95158850227,3452.55474452555,5492.35048678721,12848.8529014845,4858.31622176592,1005.07099391481,499.65253648367,512.143611404435,1191.2013536379,22945.6771231829
"Acidimicrobiales",41.1417636740552,37.7090003557453,9.17431192660552,54.5009185548071,14.1643059490085,0,18.1543116490167,14.5985401459854,0,35.5375618533513,16.4271047227926,39.0466531440162,28.4920083391244,39.7747272087293,0,0
