"Phylum","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"unclassified_phylum",11.3219582203795,7.82639630024902,3.93184796854522,17.7587262706675,0,0,7.56429652042361,5.83941605839417,0,6.29779577147998,26.694045174538,4.05679513184584,0,5.63181978176698,0,9.94644223412396
"Crenarchaeota",101.738159783129,231.768054073284,9.17431192660552,9.79791794243723,4.24929178470256,0,0,0,0,0.899685110211426,0,2.02839756592292,0,0,0,4.59066564651875
"Verrucomicrobia",903.045766225482,1145.67769477054,89.121887287025,177.383139416207,0,7.63358778625955,0,23.3576642335767,20.8623087621697,128.205128205128,0,43.6105476673428,39.6108408617095,246.392115452306,27.0727580372251,67.3297628156083
"[Thermi]",7.1758890129166,3.02383493418712,0,7.14431516636048,0,0,0,0,0,6.7476383265857,4.10677618069816,5.0709939148073,0,3.8718760999648,0,0
"Gemmatimonadetes",254.823792058683,334.578441835646,125.819134993447,212.696468667075,5.66572237960341,19.0839694656489,12.1028744326778,32.1167883211679,38.9429763560501,211.426000899685,84.1889117043123,27.8904665314402,4.864489228631,133.051742344245,5.0761421319797,47.4368783473604
"WS3",4.464997608037,2.31234436143721,0,7.75668503776281,4.24929178470256,0,0,4.37956204379563,0,1.34952766531714,0,2.02839756592292,0,3.8718760999648,0,7.65110941086458
"WPS-2",6.21910381119439,12.4510850231234,0,4.69483568075117,0,0,0,0,0,4.04858299595142,0,14.7058823529412,7.64419735927728,13.727560718057,0,0
"AD3",2.55142720459257,2.49021700462469,0,7.14431516636048,0,0,0,0,0,1.79937022042285,0,0,0,4.22386483632524,0,0
"Armatimonadetes",39.5471216711848,41.0885805763074,14.4167758846658,23.2700551132884,2.8328611898017,3.81679389312978,0,13.1386861313869,2.78164116828929,26.5407107512371,0,12.1703853955375,12.5086865879083,21.1193241816262,0,4.59066564651875
"Chlamydiae",0,1.77872643187478,3.93184796854522,1.02061645233721,0,0,0,0,0,0,0,6.08519269776877,3.47463516330786,0,0,0
"Fibrobacteres",0,0,0,1.4288630332721,0,0,0,0,0,0,0,0,0,0.703977472720873,0,0
"OP3",0,0,0,0.408246580934885,0,0,0,0,0,0,0,0,0,0,0,0
"TM7",7.81374581406474,1.95659907506226,0,3.67421922841396,0,0,0,0,0,3.59874044084571,0,0,0,3.51988736360437,0,4.59066564651875
"OD1",0,0,0,1.83710961420698,0,0,0,0,0,0,0,0,0,0,0,0
"Euryarchaeota",0,0,0,1.63298632373954,0,0,0,0,0,0,0,0,0,0,0,0
"Fusobacteria",0,0,0,2.44947948560931,0,0,0,27.7372262773723,0,0,0,2.53549695740365,0,0,0,0
"OP8",0,0,0,0,0,0,0,0,0,0,0,1.01419878296146,0,0,0,0
"BRC1",3.02981980545368,0,0,1.63298632373954,0,0,0,0,0,0,0,0,0,2.81590989088349,0,0
"Synergistetes",0.478392600861107,0,0,0,0,0,3.02571860816945,0,0,0,0,5.57809330628803,0,1.05596620908131,0,0
"TM6",0.318928400574071,0.533617929562433,0,0.408246580934885,0,0,0,0,0,0.899685110211426,0,0,0,0,0,0
"GN04",0,0,0,0.81649316186977,0,0,0,0,0,0,0,0,0,0,0,0
"Deferribacteres",0,0,0,0.81649316186977,0,0,0,0,0,0,0,0,0,0,0,3.06044376434583
"Elusimicrobia",3.02981980545368,2.49021700462469,3.93184796854522,2.24535619514187,0,0,0,0,0,2.69905533063428,4.10677618069816,0,0,6.68778599084829,0,3.82555470543229
"FBP",0.956785201722213,1.42298114549982,0,0,0,0,0,0,0,0.899685110211426,0,1.52129817444219,0,0,0,0
"[Parvarchaeota]",0,0,0,0.204123290467442,0,0,0,2.91970802919708,0,0,0,0,0,0,0,0
"Cyanobacteria",3.50821240631478,3.02383493418712,0,2.04123290467442,0,0,0,0,0,0,0,4.05679513184584,0,4.92784230904611,5.0761421319797,0
"Spirochaetes",0,0.889363215937389,0,2.85772606654419,4.24929178470256,0,0,1.45985401459854,0,0,0,2.02839756592292,0,0,0,1.53022188217292
"GAL15",0,0,0,0.408246580934885,0,0,0,0,0,0,0,0,0,0,0,3.82555470543229
"NC10",1.43517780258332,0,0,2.24535619514187,0,0,0,0,0,2.69905533063428,0,0,0,1.75994368180218,0,7.65110941086458
"BHI80-139",0,0,0,0.408246580934885,0,0,0,0,0,0,0,0,0,0,0,0
"WS4",0,0,0,1.02061645233721,0,0,0,0,0,0,0,0,0,0,0,0
"NKB19",0,0,0,1.63298632373954,0,0,0,4.37956204379563,0,0,0,5.0709939148073,0,0,0,0
"WS2",0.478392600861107,0,0,0,0,0,0,0,0,1.34952766531714,0,0,0,0,0,0
