"ID","X.SampleID","sample","City","Treatment","Dilution","Packaging","Lean","Blinded_Store","Raw_paired_reads","QC_filtered_reads","taxa_reads","filtered_taxa_reads","microbiome_raw_mapped_reads","microbiome_CSS_counts","microbiome_domain_Richness","microbiome_domain_Shannon","microbiome_phylum_Richness","microbiome_phylum_Shannon","microbiome_class_Richness","microbiome_class_Shannon","microbiome_order_Richness","microbiome_order_Shannon","microbiome_family_Richness","microbiome_family_Shannon","microbiome_genus_Richness","microbiome_genus_Shannon","microbiome_species_Richness","microbiome_species_Shannon","Level","Value"
"27","FC_123","FC_123","Sample 4","Fort Collins","RWA",NA,"Vacuum",90,"Store4",210004,184008,75558,75204,100804,20576.4441722801,3,0.0063408828162273,39,1.16803103448926,107,1.78650416505023,168,2.28424890730805,208,2.91721103538183,287,2.64339034995918,340,2.5730620337408,"Genus",5.68472938669089
"28","FC_123","FC_123","Sample 4","Fort Collins","RWA",NA,"Vacuum",90,"Store4",210004,184008,75558,75204,100804,20576.4441722801,3,0.0063408828162273,39,1.16803103448926,107,1.78650416505023,168,2.28424890730805,208,2.91721103538183,287,2.64339034995918,340,2.5730620337408,"Species",5.31219026605683
"29","FC_133","FC_133","Sample 5","Fort Collins","RWA",NA,"Vacuum",92,"Store1",212618,198432,30161,30078,183293,259621.813031162,3,0.00178723154684258,13,0.491416104446419,28,0.606330380053041,46,0.667941257340098,71,1.41674346888632,71,1.41318559677448,74,1.35635481006218,"Domain",1.00036014940753
"30","FC_133","FC_133","Sample 5","Fort Collins","RWA",NA,"Vacuum",92,"Store1",212618,198432,30161,30078,183293,259621.813031162,3,0.00178723154684258,13,0.491416104446419,28,0.606330380053041,46,0.667941257340098,71,1.41674346888632,71,1.41318559677448,74,1.35635481006218,"Phylum",1.42667075275112
"31","FC_133","FC_133","Sample 5","Fort Collins","RWA",NA,"Vacuum",92,"Store1",212618,198432,30161,30078,183293,259621.813031162,3,0.00178723154684258,13,0.491416104446419,28,0.606330380053041,46,0.667941257340098,71,1.41674346888632,71,1.41318559677448,74,1.35635481006218,"Class",1.45765312051245
"32","FC_133","FC_133","Sample 5","Fort Collins","RWA",NA,"Vacuum",92,"Store1",212618,198432,30161,30078,183293,259621.813031162,3,0.00178723154684258,13,0.491416104446419,28,0.606330380053041,46,0.667941257340098,71,1.41674346888632,71,1.41318559677448,74,1.35635481006218,"Order",1.46710654872055
"33","FC_133","FC_133","Sample 5","Fort Collins","RWA",NA,"Vacuum",92,"Store1",212618,198432,30161,30078,183293,259621.813031162,3,0.00178723154684258,13,0.491416104446419,28,0.606330380053041,46,0.667941257340098,71,1.41674346888632,71,1.41318559677448,74,1.35635481006218,"Family",3.16078241442096
"34","FC_133","FC_133","Sample 5","Fort Collins","RWA",NA,"Vacuum",92,"Store1",212618,198432,30161,30078,183293,259621.813031162,3,0.00178723154684258,13,0.491416104446419,28,0.606330380053041,46,0.667941257340098,71,1.41674346888632,71,1.41318559677448,74,1.35635481006218,"Genus",3.19342671650225
"35","FC_133","FC_133","Sample 5","Fort Collins","RWA",NA,"Vacuum",92,"Store1",212618,198432,30161,30078,183293,259621.813031162,3,0.00178723154684258,13,0.491416104446419,28,0.606330380053041,46,0.667941257340098,71,1.41674346888632,71,1.41318559677448,74,1.35635481006218,"Species",3.1098043693084
"36","FC_134","FC_134","Sample 6","Fort Collins","RWA",NA,"Vacuum",80,"Store1",219822,198879,19258,18978,157092,199862.595419848,1,0,10,0.290100303305172,24,0.367246940229604,44,0.513199454326946,60,1.21247534775181,54,1.40752018942008,55,1.31185212888527,"Domain",1
"37","FC_134","FC_134","Sample 6","Fort Collins","RWA",NA,"Vacuum",80,"Store1",219822,198879,19258,18978,157092,199862.595419848,1,0,10,0.290100303305172,24,0.367246940229604,44,0.513199454326946,60,1.21247534775181,54,1.40752018942008,55,1.31185212888527,"Phylum",1.17278221682688
"38","FC_134","FC_134","Sample 6","Fort Collins","RWA",NA,"Vacuum",80,"Store1",219822,198879,19258,18978,157092,199862.595419848,1,0,10,0.290100303305172,24,0.367246940229604,44,0.513199454326946,60,1.21247534775181,54,1.40752018942008,55,1.31185212888527,"Class",1.18419911183937
"39","FC_134","FC_134","Sample 6","Fort Collins","RWA",NA,"Vacuum",80,"Store1",219822,198879,19258,18978,157092,199862.595419848,1,0,10,0.290100303305172,24,0.367246940229604,44,0.513199454326946,60,1.21247534775181,54,1.40752018942008,55,1.31185212888527,"Order",1.22510148430654
"40","FC_134","FC_134","Sample 6","Fort Collins","RWA",NA,"Vacuum",80,"Store1",219822,198879,19258,18978,157092,199862.595419848,1,0,10,0.290100303305172,24,0.367246940229604,44,0.513199454326946,60,1.21247534775181,54,1.40752018942008,55,1.31185212888527,"Family",1.97556687983993
"41","FC_134","FC_134","Sample 6","Fort Collins","RWA",NA,"Vacuum",80,"Store1",219822,198879,19258,18978,157092,199862.595419848,1,0,10,0.290100303305172,24,0.367246940229604,44,0.513199454326946,60,1.21247534775181,54,1.40752018942008,55,1.31185212888527,"Genus",2.44461504695392
"42","FC_134","FC_134","Sample 6","Fort Collins","RWA",NA,"Vacuum",80,"Store1",219822,198879,19258,18978,157092,199862.595419848,1,0,10,0.290100303305172,24,0.367246940229604,44,0.513199454326946,60,1.21247534775181,54,1.40752018942008,55,1.31185212888527,"Species",2.31338932496534
"43","FC_142","FC_142","Sample 7","Fort Collins","RWA",NA,"Vacuum",93,"Store3",187892,174760,33405,33298,152947,231387.291981846,1,0,11,0.25569137481824,23,0.317067585130727,34,0.381224559313433,50,1.2186554740721,47,1.22931804072997,51,1.11243727787298,"Domain",1
"44","FC_142","FC_142","Sample 7","Fort Collins","RWA",NA,"Vacuum",93,"Store3",187892,174760,33405,33298,152947,231387.291981846,1,0,11,0.25569137481824,23,0.317067585130727,34,0.381224559313433,50,1.2186554740721,47,1.22931804072997,51,1.11243727787298,"Phylum",1.14354633044015
"45","FC_142","FC_142","Sample 7","Fort Collins","RWA",NA,"Vacuum",93,"Store3",187892,174760,33405,33298,152947,231387.291981846,1,0,11,0.25569137481824,23,0.317067585130727,34,0.381224559313433,50,1.2186554740721,47,1.22931804072997,51,1.11243727787298,"Class",1.15259092793318
"46","FC_142","FC_142","Sample 7","Fort Collins","RWA",NA,"Vacuum",93,"Store3",187892,174760,33405,33298,152947,231387.291981846,1,0,11,0.25569137481824,23,0.317067585130727,34,0.381224559313433,50,1.2186554740721,47,1.22931804072997,51,1.11243727787298,"Order",1.15856659819879
"47","FC_142","FC_142","Sample 7","Fort Collins","RWA",NA,"Vacuum",93,"Store3",187892,174760,33405,33298,152947,231387.291981846,1,0,11,0.25569137481824,23,0.317067585130727,34,0.381224559313433,50,1.2186554740721,47,1.22931804072997,51,1.11243727787298,"Family",2.32790987965406
"48","FC_142","FC_142","Sample 7","Fort Collins","RWA",NA,"Vacuum",93,"Store3",187892,174760,33405,33298,152947,231387.291981846,1,0,11,0.25569137481824,23,0.317067585130727,34,0.381224559313433,50,1.2186554740721,47,1.22931804072997,51,1.11243727787298,"Genus",2.37813670255207
