"Genus","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"Erysipelothrix",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Prevotella",5,0,8,102,24,0,4,30,0,0,0,214,0,6,10,4
"Brevundimonas",11,26,0,26,0,0,0,0,0,0,0,17,0,7,0,9
"Aeromonas",70,35,40,99,0,21,17,28,0,122,27,25,0,45,0,142
"Dialister",15,8,0,9,0,0,0,0,0,0,0,11,0,7,0,0
"Actinomycetospora",15,0,0,6,0,0,0,0,0,0,0,17,0,0,0,0
"Wolbachia",0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0
"Photobacterium",1791,1079,302,472,1649,1741,4066,5755,77984,9960,7051,3770,3629,88975,127168,45
"Pedobacter",20,28,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"Paenibacillus",13,61,0,28,8,0,0,0,0,22,2,6,13,20,0,17
"Desulfovibrio",5,8,0,49,0,0,0,0,5,0,0,8,6,0,0,30
"Perlucidibaca",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Actinoplanes",22,19,0,0,0,0,0,4,0,5,0,0,0,0,0,0
"Desulfosporosinus",0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0
"Faecalibacterium",39,17,13,59,11,8,10,7,10,8,3,628,15,22,9,0
"Veillonella",6,4,0,21,35,43,30,19,0,0,0,1705,19,20,0,0
"Holdemania",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"Iamia",0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
"Terriglobus",106,110,0,33,0,0,0,0,0,0,0,0,10,40,0,0
"Thermomonas",125,150,20,151,0,0,0,0,29,95,0,16,0,65,0,28
"Micromonospora",128,165,0,54,0,0,0,0,0,19,0,0,0,29,0,0
"Panacagrimonas",0,0,0,25,0,0,0,0,0,0,0,9,0,0,0,0
"Facklamia",0,0,0,0,9,0,0,0,0,0,0,0,11,0,0,0
"Luteimonas",0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Koribacter",72,0,0,62,0,0,0,0,0,21,0,31,0,32,0,22
"Cohnella",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"Aminiphilus",3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Kineosporia",27,64,0,12,0,0,0,0,0,0,0,0,0,13,0,0
"Alicyclobacillus",118,91,5,32,0,0,0,0,0,44,0,8,3,45,0,0
"Thiobacillus",0,0,4,22,0,0,0,0,0,0,0,11,0,0,0,0
"Nitrosovibrio",393,332,31,392,11,0,0,0,49,251,44,29,0,159,0,0
"Megamonas",0,0,0,6,0,9,0,0,0,0,0,13,0,0,0,0
"Modestobacter",16,38,0,0,0,0,0,0,0,0,0,37,35,45,0,0
"Asticcacaulis",7,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0
"Tepidimonas",0,0,0,35,0,0,0,0,0,0,0,9,0,0,9,72
"Finegoldia",0,0,0,5,5,0,0,5,0,0,0,8,0,0,0,0
"Caldicoprobacter",0,0,0,12,0,0,0,0,0,0,0,16,0,0,0,0
"Atopobium",0,0,0,3,6,9,13,8,0,0,0,138,0,0,0,0
"Aquincola",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"Comamonas",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfobulbus",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"Bdellovibrio",8,3,0,19,0,0,0,0,0,0,0,0,0,0,0,3
"Saccharibacter",0,0,0,0,0,0,0,6,0,0,0,7,0,0,0,0
"Aminobacter",0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,9
"Leuconostoc",3179,7371,10501,3141,6315,2044,9828,2424,1968,423,1989,259,20125,531,7258,196
"Pelotomaculum",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Enhydrobacter",33,0,2,23,8,0,0,7,0,32,0,50,4,25,0,19
"Sedimentibacter",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"Crenothrix",10,0,0,13,0,0,0,0,0,6,0,0,0,4,0,0
"Pedomicrobium",19,0,0,0,0,0,0,0,0,8,0,0,13,29,5,0
"Nannocystis",9,5,0,16,0,0,0,0,0,11,0,0,0,0,0,0
"Halomonas",3,0,0,13,13,0,14,31,11,7,0,0,0,0,7,0
"Blvii28",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Bifidobacterium",15,12,9,18,0,8,8,40,6,0,0,9719,27,28,10,0
"Roseomonas",25,0,0,17,5,5,0,0,0,5,0,0,0,5,0,0
"Flavobacterium",5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,21
"Bosea",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Niastella",0,0,0,0,0,0,0,12,0,0,11,0,0,0,0,0
"Mucispirillum",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4
"Haemophilus",10,23,0,54,0,0,0,0,0,4,0,62,0,13,7,0
"Devosia",46,87,0,93,0,0,0,0,14,27,0,11,0,23,0,13
"Actinospica",0,0,0,0,0,0,0,0,0,0,0,10,0,12,0,0
"Agromyces",0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0
"Solirubrobacter",46,60,0,47,0,0,0,0,0,32,0,18,0,31,0,0
"Bilophila",5,0,0,18,0,0,0,0,0,7,0,0,0,0,0,7
"Anaeromyxobacter",37,0,0,20,0,0,0,0,0,0,0,13,0,0,6,0
"Limnobacter",0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
"Flexispira",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"Micrococcus",0,0,0,17,0,0,0,9,0,10,0,12,0,13,0,4
"Coprobacillus",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7
"Dyella",663,708,28,166,0,12,0,0,0,194,0,6,0,235,0,14
"Steroidobacter",60,60,0,168,0,0,0,0,0,68,11,0,0,18,0,16
"Rhodanobacter",190,163,15,89,0,0,0,0,0,60,0,0,0,52,0,0
"Enterococcus",0,0,0,172,0,0,0,80,380,260,177,909,2189,913,703,0
"Dechloromonas",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR-59",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7
"[Eubacterium]",6,0,3,6,0,0,0,0,0,4,0,6,0,3,0,0
"Lautropia",0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"Turicibacter",37,0,15,174,21,28,12,22,29,59,27,20,8,15,8,0
"Hymenobacter",40,38,0,0,0,0,0,0,0,5,0,0,0,10,0,0
"[Clostridium]",0,0,0,0,0,0,0,0,20,21,8,41,37,28,15,0
"Candidatus Jettenia",0,2,0,6,0,0,4,7,0,0,0,0,0,0,0,0
"Cellvibrio",0,0,3,19,0,0,0,0,0,0,0,8,0,0,0,0
"Mycoplana",13,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospira",21,17,0,37,0,0,0,0,0,0,0,110,8,0,0,0
"YRC22",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Brevibacillus",12,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0
"Chryseomicrobium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
"Butyricicoccus",0,0,0,12,0,0,0,0,0,0,0,5,0,0,0,0
"Nocardia",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Dorea",0,7,0,15,0,0,0,0,0,4,0,0,0,0,0,0
"Cenarchaeum",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"Bulleidia",0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0
"Fimbriimonas",12,38,0,18,0,0,0,4,0,7,0,0,0,6,0,0
"Alloscardovia",0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0
"Streptococcus",26,25,13,90,450,294,409,279,25,22,12,2010,123,47,101,43
"Kribbella",84,80,0,29,0,0,0,0,0,26,0,9,0,20,0,5
"Desulfococcus",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"Sphingobacterium",0,6,0,11,0,0,0,0,0,0,0,0,0,0,0,7
