"ID","SampleID","sample","City","Treatment","Dilution","Packaging","Packaging_samples","Lean","Blinded_Store","Raw_paired_reads","QC_filtered_reads","nonhost_filtered_reads","amrplusplus_counts","Samdedup_amrplusplus_counts","deduped_SNP_confirmed_counts","resistome_raw_mapped_reads","resistome_CSS_counts","AMR_class_Richness","AMR_class_Shannon","AMR_mech_Richness","AMR_mech_Shannon","Level","Value"
"87","FC.172A_concatenated","FC_172","Sample 11.1","Fort Collins","CONV","None","TrayOverwrap","TrayOverwrap(N=6)",80,"Store3",45710363,44090217,1410649,1025,930,2147,2147,69258.0645161293,8,0.659584626277777,14,0.72608324953291,"Group",30
"88","FC.172A_concatenated","FC_172","Sample 11.1","Fort Collins","CONV","None","TrayOverwrap","TrayOverwrap(N=6)",80,"Store3",45710363,44090217,1410649,1025,930,2147,2147,69258.0645161293,8,0.659584626277777,14,0.72608324953291,"Gene",49
"89","FC.177A1in2_concatenated","FC_177","Sample 12.2","Fort Collins","CONV","Half","TrayOverwrap","TrayOverwrap(N=6)",93,"Store5",54833376,52650008,45942,4894,3473,5686,5686,23020.2429149798,14,0.962874385031071,24,1.56003889774774,"Class",14
"90","FC.177A1in2_concatenated","FC_177","Sample 12.2","Fort Collins","CONV","Half","TrayOverwrap","TrayOverwrap(N=6)",93,"Store5",54833376,52650008,45942,4894,3473,5686,5686,23020.2429149798,14,0.962874385031071,24,1.56003889774774,"Mechanism",24
"91","FC.177A1in2_concatenated","FC_177","Sample 12.2","Fort Collins","CONV","Half","TrayOverwrap","TrayOverwrap(N=6)",93,"Store5",54833376,52650008,45942,4894,3473,5686,5686,23020.2429149798,14,0.962874385031071,24,1.56003889774774,"Group",77
"92","FC.177A1in2_concatenated","FC_177","Sample 12.2","Fort Collins","CONV","Half","TrayOverwrap","TrayOverwrap(N=6)",93,"Store5",54833376,52650008,45942,4894,3473,5686,5686,23020.2429149798,14,0.962874385031071,24,1.56003889774774,"Gene",196
"93","FC.177A_concatenated","FC_177","Sample 12.1","Fort Collins","CONV","None","TrayOverwrap","TrayOverwrap(N=6)",93,"Store5",40915803,39211802,41483,9114,5417,10290,10290,31759.2592592592,12,0.993875855252934,23,1.5757264173585,"Class",12
"94","FC.177A_concatenated","FC_177","Sample 12.1","Fort Collins","CONV","None","TrayOverwrap","TrayOverwrap(N=6)",93,"Store5",40915803,39211802,41483,9114,5417,10290,10290,31759.2592592592,12,0.993875855252934,23,1.5757264173585,"Mechanism",23
"95","FC.177A_concatenated","FC_177","Sample 12.1","Fort Collins","CONV","None","TrayOverwrap","TrayOverwrap(N=6)",93,"Store5",40915803,39211802,41483,9114,5417,10290,10290,31759.2592592592,12,0.993875855252934,23,1.5757264173585,"Group",81
"96","FC.177A_concatenated","FC_177","Sample 12.1","Fort Collins","CONV","None","TrayOverwrap","TrayOverwrap(N=6)",93,"Store5",40915803,39211802,41483,9114,5417,10290,10290,31759.2592592592,12,0.993875855252934,23,1.5757264173585,"Gene",280
"97","FC.181A1in2_concatenated","FC_181","Sample 13.2","Fort Collins","CONV","Half","StoreGrind","StoreGrind(N=2)",90,"Store1",44527155,43105651,50912,4,4,135,135,3214.28571428572,8,1.55120703295688,11,1.85318071562781,"Class",8
"98","FC.181A1in2_concatenated","FC_181","Sample 13.2","Fort Collins","CONV","Half","StoreGrind","StoreGrind(N=2)",90,"Store1",44527155,43105651,50912,4,4,135,135,3214.28571428572,8,1.55120703295688,11,1.85318071562781,"Mechanism",11
"99","FC.181A1in2_concatenated","FC_181","Sample 13.2","Fort Collins","CONV","Half","StoreGrind","StoreGrind(N=2)",90,"Store1",44527155,43105651,50912,4,4,135,135,3214.28571428572,8,1.55120703295688,11,1.85318071562781,"Group",19
"100","FC.181A1in2_concatenated","FC_181","Sample 13.2","Fort Collins","CONV","Half","StoreGrind","StoreGrind(N=2)",90,"Store1",44527155,43105651,50912,4,4,135,135,3214.28571428572,8,1.55120703295688,11,1.85318071562781,"Gene",40
"101","FC.181A_concatenated","FC_181","Sample 13.1","Fort Collins","CONV","None","StoreGrind","StoreGrind(N=2)",90,"Store1",50492224,48832439,66376,30,25,266,266,8060.60606060609,8,1.25178614451091,13,1.49662002771796,"Class",8
"102","FC.181A_concatenated","FC_181","Sample 13.1","Fort Collins","CONV","None","StoreGrind","StoreGrind(N=2)",90,"Store1",50492224,48832439,66376,30,25,266,266,8060.60606060609,8,1.25178614451091,13,1.49662002771796,"Mechanism",13
"103","FC.181A_concatenated","FC_181","Sample 13.1","Fort Collins","CONV","None","StoreGrind","StoreGrind(N=2)",90,"Store1",50492224,48832439,66376,30,25,266,266,8060.60606060609,8,1.25178614451091,13,1.49662002771796,"Group",21
