"ID","sample","City","Treatment","Dilution","Packaging","Packaging_samples","Lean","Blinded_Store","Store","Raw_paired_reads","QC_filtered_reads","nonhost_filtered_reads","amrplusplus_counts","Samdedup_amrplusplus_counts","deduped_SNP_confirmed_counts","resistome_raw_mapped_reads","resistome_CSS_counts","AMR_class_Richness","AMR_class_Shannon","AMR_mech_Richness","AMR_mech_Shannon","Level","Value"
"44","FC.134A1in2_concatenated","FC_134","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",80,"Store1","KingSoopers",34804270,33470715,52034,878,730,1161,1161,37451.6129032259,7,0.350399532407983,12,0.395016871006227,"Gene",15.0559757235018
"45","FC.134A_concatenated","FC_134","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",80,"Store1","KingSoopers",46514396,44608097,37377,634,582,984,984,28114.2857142858,8,0.43420470767573,14,0.523506576155261,"Class",4.49089043460272
"46","FC.134A_concatenated","FC_134","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",80,"Store1","KingSoopers",46514396,44608097,37377,634,582,984,984,28114.2857142858,8,0.43420470767573,14,0.523506576155261,"Mechanism",5.73135476456342
"47","FC.134A_concatenated","FC_134","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",80,"Store1","KingSoopers",46514396,44608097,37377,634,582,984,984,28114.2857142858,8,0.43420470767573,14,0.523506576155261,"Group",8.36242930926703
"48","FC.134A_concatenated","FC_134","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",80,"Store1","KingSoopers",46514396,44608097,37377,634,582,984,984,28114.2857142858,8,0.43420470767573,14,0.523506576155261,"Gene",16.4736832111063
"49","FC.142A1in2_concatenated","FC_142","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",93,"Store3","Safeway",41672381,40236202,81513,1097,909,1342,1342,40666.6666666668,7,0.174803344609661,11,0.221355326626818,"Class",2.7635002024447
"50","FC.142A1in2_concatenated","FC_142","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",93,"Store3","Safeway",41672381,40236202,81513,1097,909,1342,1342,40666.6666666668,7,0.174803344609661,11,0.221355326626818,"Mechanism",3.27868501989414
"51","FC.142A1in2_concatenated","FC_142","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",93,"Store3","Safeway",41672381,40236202,81513,1097,909,1342,1342,40666.6666666668,7,0.174803344609661,11,0.221355326626818,"Group",4.53361762281387
"52","FC.142A1in2_concatenated","FC_142","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",93,"Store3","Safeway",41672381,40236202,81513,1097,909,1342,1342,40666.6666666668,7,0.174803344609661,11,0.221355326626818,"Gene",10.6081231704536
"53","FC.142A_concatenated","FC_142","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",93,"Store3","Safeway",34983723,33538488,78496,5346,3793,5303,5302,106040,7,0.143629284877859,13,0.191136763445766,"Class",2.38536879895999
