"ID","X.SampleID","City","Treatment","Dilution","Packaging","Lean","Blinded_Store","Store","Raw_paired_reads","QC_filtered_reads","taxa_reads","filtered_taxa_reads","microbiome_raw_mapped_reads","microbiome_CSS_counts","microbiome_domain_Richness","microbiome_domain_Shannon","microbiome_phylum_Richness","microbiome_phylum_Shannon","microbiome_class_Richness","microbiome_class_Shannon","microbiome_order_Richness","microbiome_order_Shannon","microbiome_family_Richness","microbiome_family_Shannon","microbiome_genus_Richness","microbiome_genus_Shannon","microbiome_species_Richness","microbiome_species_Shannon","Level","Value"
"27","FC_123","FC_123","Fort Collins","RWA",NA,"Vacuum",90,"Store4","Sprouts",210004,184008,75558,75204,100804,20576.4441722801,3,0.0063408828162273,39,1.16803103448926,106,1.77336000364961,167,2.22779641385356,207,2.86743015034321,286,2.62989937856384,142,3.08360315914724,"Genus",285.594006900783
"28","FC_123","FC_123","Fort Collins","RWA",NA,"Vacuum",90,"Store4","Sprouts",210004,184008,75558,75204,100804,20576.4441722801,3,0.0063408828162273,39,1.16803103448926,106,1.77336000364961,167,2.22779641385356,207,2.86743015034321,286,2.62989937856384,142,3.08360315914724,"Species",131.720007974419
"29","FC_133","FC_133","Fort Collins","RWA",NA,"Vacuum",92,"Store1","King Soopers",212618,198432,30161,30078,183293,259621.813031162,3,0.00178723154684258,13,0.491416104446419,28,0.606330380053041,45,0.666601123403066,70,1.40839483498286,70,1.40018685629306,27,0.42794238904204,"Domain",2.85714889961012
"30","FC_133","FC_133","Fort Collins","RWA",NA,"Vacuum",92,"Store1","King Soopers",212618,198432,30161,30078,183293,259621.813031162,3,0.00178723154684258,13,0.491416104446419,28,0.606330380053041,45,0.666601123403066,70,1.40839483498286,70,1.40018685629306,27,0.42794238904204,"Phylum",11.8427111023194
"31","FC_133","FC_133","Fort Collins","RWA",NA,"Vacuum",92,"Store1","King Soopers",212618,198432,30161,30078,183293,259621.813031162,3,0.00178723154684258,13,0.491416104446419,28,0.606330380053041,45,0.666601123403066,70,1.40839483498286,70,1.40018685629306,27,0.42794238904204,"Class",26.2263603871669
"32","FC_133","FC_133","Fort Collins","RWA",NA,"Vacuum",92,"Store1","King Soopers",212618,198432,30161,30078,183293,259621.813031162,3,0.00178723154684258,13,0.491416104446419,28,0.606330380053041,45,0.666601123403066,70,1.40839483498286,70,1.40018685629306,27,0.42794238904204,"Order",43.0943006806922
"33","FC_133","FC_133","Fort Collins","RWA",NA,"Vacuum",92,"Store1","King Soopers",212618,198432,30161,30078,183293,259621.813031162,3,0.00178723154684258,13,0.491416104446419,28,0.606330380053041,45,0.666601123403066,70,1.40839483498286,70,1.40018685629306,27,0.42794238904204,"Family",66.8922745405858
"34","FC_133","FC_133","Fort Collins","RWA",NA,"Vacuum",92,"Store1","King Soopers",212618,198432,30161,30078,183293,259621.813031162,3,0.00178723154684258,13,0.491416104446419,28,0.606330380053041,45,0.666601123403066,70,1.40839483498286,70,1.40018685629306,27,0.42794238904204,"Genus",66.744550797186
"35","FC_133","FC_133","Fort Collins","RWA",NA,"Vacuum",92,"Store1","King Soopers",212618,198432,30161,30078,183293,259621.813031162,3,0.00178723154684258,13,0.491416104446419,28,0.606330380053041,45,0.666601123403066,70,1.40839483498286,70,1.40018685629306,27,0.42794238904204,"Species",20.5643416189741
"36","FC_134","FC_134","Fort Collins","RWA",NA,"Vacuum",80,"Store1","King Soopers",219822,198879,19258,18978,157092,199862.595419848,1,0,10,0.290100303305172,24,0.367246940229604,43,0.510852863416499,59,1.20192293399254,53,1.38384291428708,23,1.15339087414588,"Domain",1
"37","FC_134","FC_134","Fort Collins","RWA",NA,"Vacuum",80,"Store1","King Soopers",219822,198879,19258,18978,157092,199862.595419848,1,0,10,0.290100303305172,24,0.367246940229604,43,0.510852863416499,59,1.20192293399254,53,1.38384291428708,23,1.15339087414588,"Phylum",9.83262650230158
"38","FC_134","FC_134","Fort Collins","RWA",NA,"Vacuum",80,"Store1","King Soopers",219822,198879,19258,18978,157092,199862.595419848,1,0,10,0.290100303305172,24,0.367246940229604,43,0.510852863416499,59,1.20192293399254,53,1.38384291428708,23,1.15339087414588,"Class",23.2031345804079
"39","FC_134","FC_134","Fort Collins","RWA",NA,"Vacuum",80,"Store1","King Soopers",219822,198879,19258,18978,157092,199862.595419848,1,0,10,0.290100303305172,24,0.367246940229604,43,0.510852863416499,59,1.20192293399254,53,1.38384291428708,23,1.15339087414588,"Order",42.0486974196474
"40","FC_134","FC_134","Fort Collins","RWA",NA,"Vacuum",80,"Store1","King Soopers",219822,198879,19258,18978,157092,199862.595419848,1,0,10,0.290100303305172,24,0.367246940229604,43,0.510852863416499,59,1.20192293399254,53,1.38384291428708,23,1.15339087414588,"Family",58.5072306044512
"41","FC_134","FC_134","Fort Collins","RWA",NA,"Vacuum",80,"Store1","King Soopers",219822,198879,19258,18978,157092,199862.595419848,1,0,10,0.290100303305172,24,0.367246940229604,43,0.510852863416499,59,1.20192293399254,53,1.38384291428708,23,1.15339087414588,"Genus",52.8334340141278
